"FileName","FilePath","Hash"
"ApplySettingsTemplateCatalog.exe","C:\Windows\system32\ApplySettingsTemplateCatalog.exe","D1AEFDE42702F575D01FFEABC6432E82345E36B33D95F36BF24D1EB30F8F0B8A"
"ApplyTrustOffline.exe","C:\Windows\system32\ApplyTrustOffline.exe","1081A2926CEF1A990F7536E2A3FB9F87A75993D5C5C8A76F0B7D4A3DF2415B64"
"AppManagementConfiguration.dll","C:\Windows\system32\AppManagementConfiguration.dll","B2AAEE6E65BC6BADFF7C800F319E8ECA5935027997F96ACBD9DCEDE5DEF6D958"
"appmgmts.dll","C:\Windows\system32\appmgmts.dll","5E914619FED8AB6E5FC57D4BCEC5D52906B10E19C3023D2BF5ADA9EE1BA6159D"
"appmgr.dll","C:\Windows\system32\appmgr.dll","44C3C799AE2ADF6C961B1A6CFDCD973F7C620680C2444DBCF4992F0589AEF027"
"AppointmentActivation.dll","C:\Windows\system32\AppointmentActivation.dll","AD206F2A9504D19C11C619F48DF84696BCE4DD056EB67E2C54C362196CD4A21C"
"AppointmentApis.dll","C:\Windows\system32\AppointmentApis.dll","DF6463CCA791BD1E2E43705ADFA2D3EEE9381101E14DC717BEF700ABEE1FA8B4"
"appraiser.dll","C:\Windows\system32\appraiser.dll","B1A430130DE1FA3FB861BB0C049D673B06A7BDECB0BC2A08594871ED9230B176"
"AppReadiness.dll","C:\Windows\system32\AppReadiness.dll","4257B622DA72D7BF46360E413FB3BF4BFEF7A66254CA5796E3EE786B7A2745AF"
"apprepapi.dll","C:\Windows\system32\apprepapi.dll","EADD28249A95CAB332768FA4712A07778BD37596670BC39505F3E5E1940BB804"
"AppResolver.dll","C:\Windows\system32\AppResolver.dll","C143F4C2B548E293D3C7A0E3AD47792AEC972EFD5FE6DCB0C558E5E2F9ACB7CD"
"appsruprov.dll","C:\Windows\system32\appsruprov.dll","38D1A1124D75AF7EACF33D829887B77B0748BA993002BE12862D4169EAA6C7F9"
"AppVCatalog.dll","C:\Windows\system32\AppVCatalog.dll","9E7319BB45E1155AAD12D9A3A203F987A2DA0DE2A09A2C839C6E39E462000CB7"
"AppVClient.exe","C:\Windows\system32\AppVClient.exe","00E94835AB09E84EA094082345E7A824EB24C26A8FCB77B5A326C1AB01DC8251"
"AppvClientEventLog.dll","C:\Windows\system32\AppvClientEventLog.dll","64DB84C27BB84DB231F74383C4F26137C955E513F9E178A0E8C6BD8A94C5CFF7"
"AppVClientPS.dll","C:\Windows\system32\AppVClientPS.dll","1B7F6F13F0875D48B4D5BFD81111848FBE94CA47B7235A2333B4D2F715BB1316"
"AppVDllSurrogate.exe","C:\Windows\system32\AppVDllSurrogate.exe","29089DCD12B1AD7E8432566624BC3EBBE218F3B56C64F788F0EABF945790E6B1"
"AppVEntStreamingManager.dll","C:\Windows\system32\AppVEntStreamingManager.dll","C8A6655F2765BE8D681F9C3DD7A5BB1AB15E501B8C59B0ACA715424786B350F5"
"AppVEntSubsystemController.dll","C:\Windows\system32\AppVEntSubsystemController.dll","48F57833F0EC65CFB09F296F9CC0AD356B28D2C7A361257A71E3BEE91A187438"
"AppVEntSubsystems64.dll","C:\Windows\system32\AppVEntSubsystems64.dll","2A04472620546F66B3A4A5AC53265B183A348B29FBDDD7FDE5ECB297901F40EE"
"AppVEntVirtualization.dll","C:\Windows\system32\AppVEntVirtualization.dll","F18562005F9EF1EC08429ACB9CBD4916A77525E62D7CE6119AAEF504F25753B5"
"appvetwclientres.dll","C:\Windows\system32\appvetwclientres.dll","255FAE421DB90E822DF8D5371A90440E6781500F61EA76F11B11E449D0F6F727"
"appvetwsharedperformance.dll","C:\Windows\system32\appvetwsharedperformance.dll","5B10734CCEC1BA6CE54A4DED6E086399D126A3820733713D2558C0ED6A858B1A"
"appvetwstreamingux.dll","C:\Windows\system32\appvetwstreamingux.dll","89C4C559016EEE7F69C9A71187BA5FA1BF3A25541084FF00294D9E49E8CE8EEA"
"AppVFileSystemMetadata.dll","C:\Windows\system32\AppVFileSystemMetadata.dll","A3DE7B53EFA24F2F5830D4FA55D65F9AACEE8AAC1778B0C2A2E047B3F9B70839"
"AppVIntegration.dll","C:\Windows\system32\AppVIntegration.dll","1FFB14B780ABBD9C2C7F1BEFCEF06AB5EBC36225C2D4EAFB1E352CC6CA7BE840"
"AppVManifest.dll","C:\Windows\system32\AppVManifest.dll","B2E5CD5C56F585C0C6BA9011725E3ABFEBEFC289E87F3E388559E3DD6967E397"
"AppVNice.exe","C:\Windows\system32\AppVNice.exe","2AB32AC37C549ACE8156D11CAF0C1BC5CA98A59FDFC28CEB25FBCE59481FD400"
"AppVOrchestration.dll","C:\Windows\system32\AppVOrchestration.dll","9FD8C1D248F5CFDE48D138BF41139E17103C53BA75DA128C3F8FCA1F9EE4778A"
"AppVPolicy.dll","C:\Windows\system32\AppVPolicy.dll","1363F80DB239AE9BC4629DAAB84239360DBF91F07C5BF58C98AF3235D4244442"
"AppVPublishing.dll","C:\Windows\system32\AppVPublishing.dll","8CE56BDC3E110E54CC5A3FC316FD2DCDC1EBAEA21E4B28BED48F3FF73421FCF6"
"AppVReporting.dll","C:\Windows\system32\AppVReporting.dll","E9E4F69EE113E57471FB4B19C27BBDBA4AD7CD21B154145A17DD7DF0922FAB59"
"AppVScripting.dll","C:\Windows\system32\AppVScripting.dll","5ECCE94B6257741B951593F23F7DC4290844BD874F152871846E1DD6EE0C5670"
"AppVSentinel.dll","C:\Windows\system32\AppVSentinel.dll","EF57EF977CC3DD20FDFDCA93C6DB5EC1EA89D62A0AF0F5B5AFC1A71056896F28"
"AppVShNotify.exe","C:\Windows\system32\AppVShNotify.exe","6F0B1A182B3151EF6D4A25DBF9FD7B2E4F2E81DEDA0DAFCEB893F9160A5A7F3A"
"AppVStreamingUX.dll","C:\Windows\system32\AppVStreamingUX.dll","F9A6B12CB07D3510D6E989FE74D50880FFD1D90726EF5996C553C7181C001B62"
"AppVStreamMap.dll","C:\Windows\system32\AppVStreamMap.dll","E19CF49A475D79C45D6E2DBD10B755DED179469567EE7499894C6246A116877E"
"AppVTerminator.dll","C:\Windows\system32\AppVTerminator.dll","98A3A7FCCAC39033145B206BDBC3F3AF7DB0571274F985830B1D31CA6633FB51"
"appwiz.cpl","C:\Windows\system32\appwiz.cpl","0208915E3E9CE29B40B1FD5151B539D52C6D3B9BCD6C9DAD4BDF4F47E5E8A40F"
"AppxAllUserStore.dll","C:\Windows\system32\AppxAllUserStore.dll","7185C50A9C6A0710D0F9934AF8EF0C14EB46F78646961A94FBD826C3F12B9D23"
"AppXApplicabilityBlob.dll","C:\Windows\system32\AppXApplicabilityBlob.dll","098806554BA974C70ED8CF3AEA4319315154905DECC0E1A34ECF38FEDAEC4B8F"
"AppxApplicabilityEngine.dll","C:\Windows\system32\AppxApplicabilityEngine.dll","1617514D0259CA2F4672903C010363472C386CC1EAA97C69CD4056C341D395EE"
"AppXDeploymentClient.dll","C:\Windows\system32\AppXDeploymentClient.dll","623D83460FE40A9420B288FCE7622B07AF1E2DEB8B611BC61F5B8290521F83C9"
"AppXDeploymentExtensions.desktop.dll","C:\Windows\system32\AppXDeploymentExtensions.desktop.dll","5CE38BCED185406A8767F4B14CB307677FD287A7E14D378CC12FED0ACF710781"
"AppXDeploymentExtensions.onecore.dll","C:\Windows\system32\AppXDeploymentExtensions.onecore.dll","60C368468366301F50FBFCA50D1F08DFA40FF3DB867521DC71756B0FAE9BFFF5"
