"FileName","FilePath","Hash"
"APMonUI.dll","C:\Windows\system32\APMonUI.dll","AC7485CEC94A641004AC97BA0C861ACFD0BB7BDBBF38E8929DD15B25E91430F6"
"AppContracts.dll","C:\Windows\system32\AppContracts.dll","F2968D5328A9AA0B4D45AF03E92F0A24CC5075C0FB3E257D1D6FF2B9107BD3EB"
"AppExtension.dll","C:\Windows\system32\AppExtension.dll","9E73DA5D71C970305A0062E799856EB79DA97D0F7AB7FA0CA863674FE883114D"
"apphelp.dll","C:\Windows\system32\apphelp.dll","85EC4FD50FF51B2D98E411E2D2907A5209DBD924F418CC352D322AB574030D99"
"Apphlpdm.dll","C:\Windows\system32\Apphlpdm.dll","340BC38B361665D647C24590D54D4AA245FF4CA2E9F2837D913134D9647591C9"
"AppHostRegistrationVerifier.exe","C:\Windows\system32\AppHostRegistrationVerifier.exe","69C0D08149AEE10F9A6EE68D19143E2CE80047AB9E07FBDA5B2BF964E06A03CE"
"appidapi.dll","C:\Windows\system32\appidapi.dll","FCB40FD91FFB67A02A74B6AE3D1BB61CCAB9BBABC0508C3E5B52189548979F07"
"appidcertstorecheck.exe","C:\Windows\system32\appidcertstorecheck.exe","CAE8F881EAFABAB70FA54734AFFFCF5BA12518EC14467F6510C14F320603294B"
"appidpolicyconverter.exe","C:\Windows\system32\appidpolicyconverter.exe","D3CA034F75C4C7E76C8D8E52A6DDA1EF101352BA4D08CC15DA7D014FD5421023"
"AppIdPolicyEngineApi.dll","C:\Windows\system32\AppIdPolicyEngineApi.dll","C9DEB7C2ED146EAC8EB41B838904C1E88A21E4A3662DA8F61DD0CA249321E72A"
"appidsvc.dll","C:\Windows\system32\appidsvc.dll","0995C9042ADD669A1592BBA2EFFA13DD9743CD63D7458F2787A5BA3A736985FA"
"appidtel.exe","C:\Windows\system32\appidtel.exe","46149CC5F2BDDF27196396F1E035F6431E0ADC0BBCE5B2A93DE6D7B3589A690C"
"appinfo.dll","C:\Windows\system32\appinfo.dll","A0BE7615F3D37233B496B5E64571326FF72BDC475855158FD6D8ED166577C996"
"appinfoext.dll","C:\Windows\system32\appinfoext.dll","1A578F5616BEEF2C42AAB9E64360EBFC5B91342B56707793FB30AAC2562F6F71"
"AppInstallerPrompt.Desktop.dll","C:\Windows\system32\AppInstallerPrompt.Desktop.dll","51E79DD7E98E691DB89C7E4B608470876BECC892753756B40BEBC42413AF9D7D"
"ApplicationControlCSP.dll","C:\Windows\system32\ApplicationControlCSP.dll","93B77D50D9CD8011F4CE2284ABFD5EF29A2F2B97EBA448C0CCE087A4694FAB83"
"ApplicationFrame.dll","C:\Windows\system32\ApplicationFrame.dll","DA652E1D709DE7AD35455AA738DF4B5D57419E81328EE24D87FCE750A521F73B"
"ApplicationFrameHost.exe","C:\Windows\system32\ApplicationFrameHost.exe","CF58E424B86775E6F2354291052126A646F842FFF811B730714DFBBD8EBC71A4"
"AppListBackupLauncher.dll","C:\Windows\system32\AppListBackupLauncher.dll","ADB337E7ED2214DBC82A96474F6C4C773A0B402CF0ED359F0202B584CF647C28"
"AppLockerCSP.dll","C:\Windows\system32\AppLockerCSP.dll","5030EED5C2D72FF51B22A4EEFCD462C153D6E61FE1ED68F1FF4D9D12E16D04FD"
"ApplySettingsTemplateCatalog.exe","C:\Windows\system32\ApplySettingsTemplateCatalog.exe","9B259673B54169971E8807535E9D2965C88AC036A4787B80D27B6AEECF718738"
"ApplyTrustOffline.exe","C:\Windows\system32\ApplyTrustOffline.exe","0B23F66CE8244EF2DE10A064E9D10E515310209972F1E98A1CD3EF9BF6547CA0"
"AppManagementConfiguration.dll","C:\Windows\system32\AppManagementConfiguration.dll","134841CB309B0B12621A60FA3AA511C9E611D2547A4F1B091C8C45FE1B722D47"
"appmgmts.dll","C:\Windows\system32\appmgmts.dll","51EB3E2C8266AE07FDB1B69E3550FFD7B8500E0469A33D2064C4ECCAA942988C"
"appmgr.dll","C:\Windows\system32\appmgr.dll","4E3CD3998FB31EC405821BD0536EAA0BB3C40F203DCD4331668CEB514974F040"
"AppMon.dll","C:\Windows\system32\AppMon.dll","C1CDC109CFE583E84B03E27D9A8A10FE39C3B3F0A344573EE84E3A25E35A0B5C"
"AppointmentActivation.dll","C:\Windows\system32\AppointmentActivation.dll","0311462D9BCF89108669780A1DB24DD1B17EAC4EDDF2B4EA9EE0112CD53605D6"
"AppointmentApis.dll","C:\Windows\system32\AppointmentApis.dll","EDEA5223C03FEC978CA11AB5F3F88D1727B9579752BE374279F511456666229F"
"appraiser.dll","C:\Windows\system32\appraiser.dll","5806A907DDDFC919CE48D2DF3612DE2BB8BB4BAC79AB9B51EE761980A88AABA6"
"AppReadiness.dll","C:\Windows\system32\AppReadiness.dll","E9CA6FEBE3898159EECCE80C5B439DF4F9142FFDFB4B68F3289D64BE455E5665"
"apprepapi.dll","C:\Windows\system32\apprepapi.dll","F68E1A6A864C71ED4BAA82693203FBBC050B8B0A52C0101D8CB7C966C70995CA"
"AppResolver.dll","C:\Windows\system32\AppResolver.dll","209E7D04D1576D18861A9B84C510DA4EDD2F30B1B3C0B145682DE925BA95E4D9"
"ApproveChildRequest.exe","C:\Windows\system32\ApproveChildRequest.exe","DE18AAD7759E1DAF3FC2174A8D2F822A13523315098A7AC090BA676D810D31C3"
"appsruprov.dll","C:\Windows\system32\appsruprov.dll","50D2B77A3EA1AA1E761883EBE94FBEFBBCB693D6A4C2B2CFB90D60D19F2D118B"
"AppVCatalog.dll","C:\Windows\system32\AppVCatalog.dll","97700E6E4265C5B7981465D0C28EF6BC20DB23C9F15E0172DABBAFF5EBEBA406"
"AppVClient.exe","C:\Windows\system32\AppVClient.exe","AFAEE033ABA9896C39316902ACE2BBBB739D912B0B22949E50BAC2CB8219C4F5"
"AppvClientEventLog.dll","C:\Windows\system32\AppvClientEventLog.dll","FDC37B4F705D6C0C7252CFC8207D52D4F5A55546D45251B4065D6C9A6C018863"
"AppVClientPS.dll","C:\Windows\system32\AppVClientPS.dll","5B520C17F455EE2ABC7CE4B30DEEC01A4CB4866D3CE32A2CD23EFC425CDD109B"
"AppVDllSurrogate.exe","C:\Windows\system32\AppVDllSurrogate.exe","2A9E77F24EAC58A2030A0C982C388417011CB17C2CCFFB525143A95F49793FF9"
"AppVEntStreamingManager.dll","C:\Windows\system32\AppVEntStreamingManager.dll","C7305C46D7FAB24DB2AD39D13BBCBEEF28912E747CB210833ED4A332118735C6"
"AppVEntSubsystemController.dll","C:\Windows\system32\AppVEntSubsystemController.dll","71DA158D6370BB417E163B72B496A9DDB5EA5620C08971EA41C1A880C6E885DA"
"AppVEntSubsystems64.dll","C:\Windows\system32\AppVEntSubsystems64.dll","23AF5178F9877548EFCDDA470AC1B6C70E0B75208F4DC0302FF2B5ABD47C69F1"
